Date,Open,High,Low,Close,Volume
1-Jan-05,1211.92,1217.8,1163.75,1181.27,31498800000
1-Dec-04,1173.78,1217.33,1173.78,1211.92,31102500000
1-Nov-04,1130.2,1188.46,1127.6,1173.82,30460280000
30-Sep-04,1114.58,1142.05,1090.29,1130.2,31511000000
31-Aug-04,1104.24,1131.54,1099.18,1114.58,26829870000
31-Jul-04,1101.72,1109.68,1060.72,1104.24,26586800000
30-Jun-04,1140.84,1140.84,1078.78,1101.72,29285600000
31-May-04,1120.68,1146.34,1113.32,1140.84,27529500000
30-Apr-04,1107.3,1127.74,1076.32,1120.68,29326400000
1-Apr-04,1126.21,1150.57,1107.23,1107.3,31611900000
1-Mar-04,1144.94,1163.23,1087.16,1126.21,33597900000
1-Feb-04,1131.13,1158.98,1124.44,1144.94,27985600000
1-Jan-04,1111.92,1155.38,1105.08,1131.13,32820000000
1-Dec-03,1058.2,1112.56,1053.41,1111.92,27839130000
1-Nov-03,1050.71,1063.65,1031.2,1058.2,24463220000
30-Sep-03,995.97,1053.79,995.97,1050.71,32298500000
31-Aug-03,1008.01,1040.29,990.36,995.97,29940110000
31-Jul-03,990.31,1011.01,960.84,1008.01,24881470000
30-Jun-03,974.5,1015.41,962.1,990.31,31553200000
31-May-03,963.59,1015.33,963.59,974.5,31219400000
30-Apr-03,916.92,965.38,902.83,963.59,30952100000
1-Apr-03,848.18,924.24,847.85,916.92,29669610000
1-Mar-03,841.15,895.9,788.9,848.18,30080030000
1-Feb-03,855.7,864.64,806.29,841.15,25235300000
1-Jan-03,879.82,935.05,840.34,855.7,30749580000
1-Dec-02,936.31,954.28,869.45,879.82,25993640000
1-Nov-02,885.76,941.82,872.05,936.31,29200960000
30-Sep-02,815.28,907.44,768.63,885.76,37856310000
31-Aug-02,916.07,924.02,800.2,815.28,27723710000
31-Jul-02,911.62,965,833.44,916.07,29298400000
30-Jun-02,989.82,994.46,775.68,911.62,42228720000
31-May-02,1067.14,1070.74,952.92,989.82,29981510000
30-Apr-02,1076.92,1106.59,1048.96,1067.14,26905500000
1-Apr-02,1147.39,1147.84,1063.46,1076.92,28568900000
1-Mar-02,1106.73,1173.94,1106.73,1147.39,26563200000
1-Feb-02,1130.2,1130.2,1074.36,1106.73,26047600000
1-Jan-02,1148.08,1176.97,1081.66,1130.2,29746200000
1-Dec-01,1139.45,1173.62,1114.53,1148.08,25128570000
1-Nov-01,1059.78,1163.38,1054.31,1139.45,26330000000
30-Sep-01,1040.94,1110.61,1026.76,1059.78,29951280000
31-Aug-01,1133.58,1155.4,944.75,1040.94,25025290000
